county,discrepancy_count,discrepancy_rate,mean_entry_time_sec,total_ballots
Alamosa,0,0.0,50.297932980392154,66
Archuleta,0,0.0,122.81481456666667,38
Bent,0,0.0,153.0514802105263,31
Boulder,0,0.0,148.6015158018018,135
Crowley,0,0.0,158.174288,14
Custer,0,0.0,187.61714657894737,31
Delta,0,0.0,107.54866560810811,83
Douglas,0,0.0,235.21528373076924,73
Elbert,0,0.0,151.90586715789473,23
Mineral,0,0.0,181.309209375,11
Montrose,0,0.0,146.71630242857142,32
Ouray,0,0.0,106.17075848571429,74
Pitkin,0,0.0,216.98336383870966,41
Prowers,0,0.0,145.933188,13
Rio Blanco,0,0.0,164.53383315,48
Rio Grande,0,0.0,163.15402913636365,28
San Miguel,0,0.0,174.1961101904762,28
Summit,0,0.0,134.10290009523808,52
Teller,0,0.0,127.93679894444445,73
Weld,0,0.0,166.31971285869565,99
Yuma,0,0.0,171.93245536363636,13
Arapahoe,1,0.014705882352941176,218.62454550943397,68
Broomfield,1,0.017857142857142856,149.68690881132076,56
Chaffee,1,0.011494252873563218,152.33571739506172,87
Costilla,1,0.024390243902439025,182.10653751515153,41
Eagle,1,0.02040816326530612,168.0960755,49
El Paso,1,0.00625,172.02265444055945,160
Fremont,1,0.047619047619047616,115.07124910526316,21
Garfield,1,0.008547008547008548,129.2567929245283,117
Gilpin,1,0.007246376811594203,145.2234065923077,138
Jackson,1,0.025,173.26355288888888,40
La Plata,1,0.015384615384615385,147.66243280645162,65
Larimer,1,0.007633587786259542,123.436802,131
Lincoln,1,0.05555555555555555,160.53625881818184,18
Mesa,1,0.015625,167.1089542542373,64
Moffat,1,0.024390243902439025,148.1571393125,41
Morgan,1,0.02702702702702703,144.39272196875,37
Park,1,0.0196078431372549,119.98861739583333,51
Routt,1,0.005988023952095809,73.42303397484277,167
Saguache,1,0.010869565217391304,184.78330492647058,92
Washington,1,0.034482758620689655,89.04694757142857,29
Jefferson,2,0.022222222222222223,206.09799554054055,90
Kiowa,2,0.03508771929824561,112.16116441818181,57
Kit Carson,2,0.01834862385321101,105.31456735238095,109
Lake,2,0.020833333333333332,175.65656587142857,96
Logan,2,0.03125,167.34489944262296,64
Montezuma,2,0.037037037037037035,175.6040825,54
Phillips,2,0.03508771929824561,245.03160255555557,57
Adams,3,0.012987012987012988,124.86647692385787,231
Clear Creek,3,0.04225352112676056,151.92381844444444,71
Pueblo,3,0.007874015748031496,133.18471341107872,381
Gunnison,4,0.08695652173913043,123.64475590476191,46
Huerfano,4,0.0851063829787234,128.87066989189188,47
Sedgwick,12,0.19047619047619047,141.4814206607143,63
Grand,16,0.2909090909090909,144.45686379069767,55
Conejos,20,0.2777777777777778,178.1129293,72
Denver,23,0.08214285714285714,65.01094236029412,280
Las Animas,24,0.7272727272727273,174.16601852941176,33
Cheyenne,33,1.65,168.16434106666668,20
