county,imprinted_id,cvr_id,contest_name,sequence
Adams,101-2-51,81801,round 1: Regent of the University of Colorado - At Large,36
Adams,101-285-1,379206,round 1: Regent of the University of Colorado - At Large,37
Adams,101-427-16,609262,round 1: Regent of the University of Colorado - At Large,35
Adams,101-531-34,750618,round 1: Regent of the University of Colorado - At Large,33
Adams,101-588-60,769971,round 1: Regent of the University of Colorado - At Large,22
Adams,103-163-1,122056,round 1: Regent of the University of Colorado - At Large,32
Adams,103-272-16,188592,round 1: Presidential Electors,2
Adams,103-272-16,188592,round 1: Regent of the University of Colorado - At Large,2
Adams,103-322-34,260932,round 1: Regent of the University of Colorado - At Large,31
Adams,103-410-62,343460,round 1: Presidential Electors,11
Adams,103-410-62,343460,round 1: Regent of the University of Colorado - At Large,13
Adams,103-583-54,592501,round 1: Presidential Electors,10
Adams,103-583-54,592501,round 1: Regent of the University of Colorado - At Large,11
Adams,104-102-5,426142,round 1: Regent of the University of Colorado - At Large,34
Adams,104-123-73,440161,round 1: Regent of the University of Colorado - At Large,26
Adams,104-199-71,522527,round 1: Regent of the University of Colorado - At Large,29
Adams,105-137-22,370798,round 1: Regent of the University of Colorado - At Large,15
Adams,105-176-88,443474,round 1: Presidential Electors,4
Adams,105-176-88,443474,round 1: Regent of the University of Colorado - At Large,4
Adams,105-40-43,269418,round 1: Regent of the University of Colorado - At Large,23
Adams,106-288-33,247980,round 1: Regent of the University of Colorado - At Large,30
Adams,106-309-98,275052,round 1: Regent of the University of Colorado - At Large,20
Adams,106-411-74,372030,round 1: Regent of the University of Colorado - At Large,19
Adams,106-471-30,432131,round 1: Presidential Electors,5
Adams,106-471-30,432131,round 1: Regent of the University of Colorado - At Large,5
Adams,106-583-3,541822,round 1: Regent of the University of Colorado - At Large,16
Adams,106-586-12,543942,round 1: Regent of the University of Colorado - At Large,24
Adams,106-669-1,714461,round 1: Regent of the University of Colorado - At Large,18
Adams,107-27-77,45539,round 1: Regent of the University of Colorado - At Large,28
Adams,108-71-8,67860,round 1: Regent of the University of Colorado - At Large,25
Adams,109-133-21,135663,round 1: Regent of the University of Colorado - At Large,27
Adams,109-143-10,144040,round 1: Presidential Electors,7
Adams,109-143-10,144040,round 1: Regent of the University of Colorado - At Large,7
Adams,109-145-12,145688,round 1: Presidential Electors,9
Adams,109-145-12,145688,round 1: Regent of the University of Colorado - At Large,10
Adams,109-288-74,391982,round 1: Presidential Electors,3
Adams,109-288-74,391982,round 1: Regent of the University of Colorado - At Large,3
Adams,109-438-34,619811,round 1: Presidential Electors,6
Adams,109-438-34,619811,round 1: Regent of the University of Colorado - At Large,6
Adams,109-532-66,680192,round 1: Regent of the University of Colorado - At Large,17
Adams,109-587-19,743429,round 1: Presidential Electors,8
Adams,109-587-19,743429,round 1: Regent of the University of Colorado - At Large,8
Adams,110-148-96,143006,round 1: Presidential Electors,1
Adams,110-148-96,143006,round 1: Regent of the University of Colorado - At Large,1
Adams,110-245-92,376233,round 1: Regent of the University of Colorado - At Large,14
Adams,112-114-70,120193,round 1: Regent of the University of Colorado - At Large,21
Adams,112-283-59,366550,round 1: Regent of the University of Colorado - At Large,9
Adams,112-64-62,78659,round 1: Regent of the University of Colorado - At Large,12
Alamosa,102-79-7,99076,round 1: Regent of the University of Colorado - At Large,38
Arapahoe,103-29-81,235037,round 1: Regent of the University of Colorado - At Large,55
Arapahoe,103-30-22,235214,round 1: Regent of the University of Colorado - At Large,54
