county,imprinted_id,contest_name,round,selection
Adams,101-101-7,Adams County Commissioner - District 5,1,173
Adams,101-130-14,Adams County Commissioner - District 5,1,158
Adams,101-146-54,Adams County Commissioner - District 5,1,45
Adams,101-2-51,,,
Adams,101-285-1,,,
Adams,101-30-91,Adams County Commissioner - District 5,1,111
Adams,101-321-46,Adams County Commissioner - District 5,1,44
Adams,101-331-11,Adams County Commissioner - District 5,1,7
Adams,101-339-41,Adams County Commissioner - District 5,1,123
Adams,101-34-1,Adams County Commissioner - District 5,1,84
Adams,101-370-71,Adams County Commissioner - District 5,1,152
Adams,101-402-64,Adams County Commissioner - District 5,1,154
Adams,101-409-17,Adams County Commissioner - District 5,1,21
Adams,101-410-63,Adams County Commissioner - District 5,1,107
Adams,101-413-44,Adams County Commissioner - District 5,1,115
Adams,101-427-16,,,
Adams,101-435-32,Adams County Commissioner - District 5,1,16
Adams,101-47-97,Adams County Commissioner - District 5,1,114
Adams,101-478-31,Adams County Commissioner - District 5,1,34
Adams,101-484-89,Adams County Commissioner - District 5,1,192
Adams,101-510-83,Adams County Commissioner - District 5,1,6
Adams,101-531-34,,,
Adams,101-550-33,Adams County Commissioner - District 5,1,120
Adams,101-554-40,Adams County Commissioner - District 5,1,89
Adams,101-566-84,Adams County Commissioner - District 5,1,37
Adams,101-574-57,Adams County Commissioner - District 5,1,145
Adams,101-588-60,,,
Adams,102-13-85,Adams County Commissioner - District 5,1,24
Adams,102-143-15,Adams County Commissioner - District 5,1,97
Adams,102-145-80,Adams County Commissioner - District 5,1,101
Adams,102-147-14,Adams County Commissioner - District 5,1,25
Adams,102-170-75,Adams County Commissioner - District 5,1,38
Adams,102-195-33,Adams County Commissioner - District 5,1,22
Adams,102-242-93,Adams County Commissioner - District 5,1,121
Adams,102-287-59,Adams County Commissioner - District 5,1,179
Adams,102-53-9,Adams County Commissioner - District 5,1,40
Adams,102-64-77,Adams County Commissioner - District 5,1,82
Adams,102-69-97,Adams County Commissioner - District 5,1,159
Adams,102-71-40,Adams County Commissioner - District 5,1,134
Adams,103-145-9,Adams County Commissioner - District 5,1,23
Adams,103-148-53,Adams County Commissioner - District 5,1,167
Adams,103-154-64,Adams County Commissioner - District 5,1,73
Adams,103-163-1,,,
Adams,103-175-70,Adams County Commissioner - District 5,1,10
Adams,103-191-84,Adams County Commissioner - District 5,1,83
Adams,103-200-98,Adams County Commissioner - District 5,1,105
Adams,103-201-29,Adams County Commissioner - District 5,1,181
Adams,103-215-73,Adams County Commissioner - District 5,1,12
Adams,103-227-92,Adams County Commissioner - District 5,1,139
Adams,103-272-16,,,
Adams,103-293-5,Adams County Commissioner - District 5,1,48
Adams,103-322-34,,,
Adams,103-333-52,Adams County Commissioner - District 5,1,188
Adams,103-341-90,Adams County Commissioner - District 5,1,191
Adams,103-356-61,Adams County Commissioner - District 5,1,129
Adams,103-406-92,Adams County Commissioner - District 5,1,78
Adams,103-410-62,,,
Adams,103-415-15,Adams County Commissioner - District 5,1,50
Adams,103-445-50,Adams County Commissioner - District 5,1,63
Adams,103-460-94,Adams County Commissioner - District 5,1,39
Adams,103-464-83,Adams County Commissioner - District 5,1,52
Adams,103-470-87,Adams County Commissioner - District 5,1,99
Adams,103-482-7,Adams County Commissioner - District 5,1,72
Adams,103-484-34,Adams County Commissioner - District 5,1,76
Adams,103-491-64,Adams County Commissioner - District 5,1,110
Adams,103-492-1,Adams County Commissioner - District 5,1,185
Adams,103-503-55,Adams County Commissioner - District 5,1,98
Adams,103-514-21,Adams County Commissioner - District 5,1,80
Adams,103-53-106,Adams County Commissioner - District 5,1,41
Adams,103-532-22,Adams County Commissioner - District 5,1,171
Adams,103-534-78,Adams County Commissioner - District 5,1,112
Adams,103-536-73,Adams County Commissioner - District 5,1,136
Adams,103-562-15,Adams County Commissioner - District 5,1,33
Adams,103-583-54,,,
Adams,103-78-94,Adams County Commissioner - District 5,1,108
Adams,104-102-5,,,
Adams,104-110-70,Adams County Commissioner - District 5,1,56
Adams,104-123-73,,,
Adams,104-126-66,Adams County Commissioner - District 5,1,157
Adams,104-150-54,Adams County Commissioner - District 5,1,170
Adams,104-163-45,Adams County Commissioner - District 5,1,160
Adams,104-191-71,Adams County Commissioner - District 5,1,137
Adams,104-199-71,,,
Adams,104-211-1,Adams County Commissioner - District 5,1,126
Adams,104-240-56,Adams County Commissioner - District 5,1,190
Adams,104-242-54,Adams County Commissioner - District 5,1,149
Adams,104-29-15,Adams County Commissioner - District 5,1,141
Adams,104-38-37,Adams County Commissioner - District 5,1,20
Adams,104-8-53,Adams County Commissioner - District 5,1,132
Adams,104-8-99,Adams County Commissioner - District 5,1,143
Adams,104-99-42,Adams County Commissioner - District 5,1,151
Adams,105-131-31,Adams County Commissioner - District 5,1,118
Adams,105-137-22,,,
Adams,105-176-88,,,
Adams,105-177-25,Adams County Commissioner - District 5,1,81
Adams,105-208-49,Adams County Commissioner - District 5,1,127
Adams,105-214-84,Adams County Commissioner - District 5,1,175
Adams,105-218-76,Adams County Commissioner - District 5,1,169
Adams,105-241-43,Adams County Commissioner - District 5,1,153
Adams,105-28-77,Adams County Commissioner - District 5,1,165
Adams,105-40-43,,,
Adams,105-71-100,Adams County Commissioner - District 5,1,131
Adams,105-83-51,Adams County Commissioner - District 5,1,17
Adams,106-10-16,Adams County Commissioner - District 5,1,62
Adams,106-100-22,Adams County Commissioner - District 5,1,174
Adams,106-117-59,Adams County Commissioner - District 5,1,176
Adams,106-165-57,Adams County Commissioner - District 5,1,42
Adams,106-205-82,Adams County Commissioner - District 5,1,27
Adams,106-207-16,Adams County Commissioner - District 5,1,156
Adams,106-218-26,Adams County Commissioner - District 5,1,113
Adams,106-251-1,Adams County Commissioner - District 5,1,29
Adams,106-288-33,,,
Adams,106-302-68,Adams County Commissioner - District 5,1,31
Adams,106-309-98,,,
Adams,106-411-74,,,
Adams,106-42-89,Adams County Commissioner - District 5,1,147
