county,n,n_before_outliers,outliers_removed,contest_min,contest_max,delta_min,delta_max,intercept,slope,r_squared,correlation,se_slope
Fremont,19,20,1,2,34,22.840153,219.417819,2.412069375915351,3.634167088043478,0.284170694523605,0.5330766310049663,1.3989285159399658
Weld,90,97,7,33,43,113.212178,250.18864,-57.99106651082164,6.254988479410073,0.27812765791355,0.5273780976809237,1.0742201387871757
Saguache,70,90,20,34,44,104.184594,291.375119,462.9762836347826,-8.154356582608695,0.13001536924185064,-0.36057644022017116,2.5579596282913926
Bent,27,28,1,32,44,6.176826,462.202221,-66.95841314285721,7.734317938775512,0.1131327193358268,0.3363520764553517,4.3309903869091455
Mineral,9,10,1,33,51,141.580356,346.444864,318.39497634507046,-3.3604913462441317,0.0855498363688525,-0.2924890363224793,4.152639118251935
Teller,69,72,3,40,42,93.544098,171.214655,-136.18187127373415,6.389183336234176,0.059208684861241645,0.24332834783732366,3.1114433013058846
Kiowa,41,56,15,35,42,107.215771,153.833488,72.9489046538462,1.4240225439560428,0.048539921935352504,0.22031777489651733,1.009555757177708
Montezuma,51,53,2,34,36,0.620257,306.773958,-490.28538835580537,17.561112224719103,0.04106102693698055,0.2026352065584374,12.123682645724566
Hinsdale,51,57,6,36,47,82.772388,224.849546,189.08598626325755,-1.7031470421401513,0.03890555998976797,-0.19724492386311962,1.209292339251957
Clear Creek,59,64,5,35,62,8.291475,260.960437,23.96063561093972,2.3717354798879255,0.036057740774611324,0.18988875894747267,1.6242582322970873
Park,39,50,11,30,31,108.542176,153.541004,-111.21542177777783,7.863591111111114,0.03205278563898972,0.17903291775254568,7.104164491746407
Pitkin,39,40,1,39,42,4.123811,275.809796,-177.44015930481288,7.67889107308378,0.03041618922538969,0.17440237735016573,7.127511423820237
Chaffee,72,85,13,32,43,106.433189,198.166868,86.7589948022963,1.6153519838140575,0.02968075230320577,0.17228102711327675,1.1039210640230204
Grand,50,53,3,31,40,84.300379,315.704369,-68.19698399310474,7.2413825939475185,0.028701128683184085,0.16941407463131272,6.080339501293206
Costilla,35,39,4,33,50,111.89488,365.508898,266.87081435420873,-2.200196505331088,0.023463903703707878,-0.15317931878588548,2.4708621534552133
Gunnison,40,45,5,36,48,97.918656,175.136702,160.24697036908518,-1.1510358916929546,0.01968729273222969,-0.1403114134068558,1.317608489517792
Summit,42,51,9,34,36,91.068882,233.967425,-310.3748427560978,13.054591048780493,0.01923759952119286,0.13869967383232334,14.738040311764875
Eagle,42,48,6,31,34,130.062526,271.319504,-6.156621554463669,5.50089418673219,0.018526380880794502,0.13611164858598465,6.330635613869162
Moffat,37,39,2,31,38,102.717233,340.697458,397.01302906866,-7.211900854928016,0.015735596581805122,-0.12544160626285514,9.64117594343529
San Miguel,24,27,3,37,49,141.986264,392.072327,335.94994799929356,-3.612539968562346,0.013248059006755741,-0.11510021288753447,6.647053711811326
Morgan,30,35,5,33,51,80.899753,188.123978,155.52093036402266,-0.7280250655605022,0.012712848480454064,-0.1127512681988723,1.2124605690456232
Lake,75,94,19,34,47,95.31517,338.416375,224.84515415748723,-1.2331938948838639,0.0076178342179726855,-0.08728020518979415,1.647379482997915
Huerfano,40,46,6,31,50,99.782111,196.923582,108.56647064965271,0.4865497024836876,0.004860601538984155,0.06971801445095989,1.1293599002149441
Montrose,27,30,3,36,38,116.846794,200.232427,232.79552208119662,-2.4299186025641037,0.004067627315301303,-0.0637779532072124,7.604419531126255
Ouray,65,73,8,35,36,80.435624,142.671441,17.99844674858754,2.3590233079096055,0.0022156181497190452,0.04707035319305484,6.307145515611528
Kit Carson,98,106,8,33,34,77.801272,182.345066,-25.371543919540287,3.8850340323928956,0.0020874885313515446,0.04568904169876419,8.66948692132422
Delta,72,80,8,34,44,70.72062,156.122555,87.88567890218064,0.495275171095612,0.0017272761903096567,0.04156051239228973,1.423119094751497
Rio Blanco,45,47,2,32,44,119.590633,426.818889,220.12837794444442,-1.263250833333333,0.0009161405005914114,-0.03026781294694805,6.361730915655361
Logan,58,63,5,34,35,128.024587,229.561002,124.24061300000007,1.0775074705882335,0.0005142042959312976,0.022676073203517277,6.348143556666452
Baca,70,83,13,1,62,52.308059,559.61954,173.88231471239226,0.289629174069345,0.00033194188762242227,0.018219272422971895,1.9274571308158512
Yuma,10,12,2,34,35,133.721233,202.575991,149.53235055555547,0.33477455555555774,2.5924152267209344e-05,0.005091576599357834,23.246069794152422
El Paso,156,159,3,41,46,1.244048,274.327915,111.12322906837925,-0.06336095076693518,3.1013728047923905e-06,-0.0017610714933457706,2.899236639105413
